episode,timestep,reward
40,800,19.875
75,1600,22.8
103,2400,27.5714
137,3200,24.1176
159,4000,36.3636
181,4800,34.0
199,5600,47.6667
212,6400,59.6923
217,7200,158.8
226,8000,83.0
230,8800,207.25
235,9600,128.0
240,10400,189.4
245,11200,170.6
249,12000,169.0
254,12800,167.4
258,13600,198.75
263,14400,179.0
265,15200,346.0
269,16000,199.25
272,16800,276.3333
274,17600,251.0
279,18400,232.6
283,19200,202.5
286,20000,231.6667
289,20800,293.6667
292,21600,276.0
295,22400,266.6667
298,23200,240.3333
301,24000,231.3333
304,24800,288.3333
307,25600,245.0
311,26400,227.25
314,27200,276.6667
317,28000,232.6667
320,28800,286.0
322,29600,300.5
325,30400,358.3333
327,31200,317.5
329,32000,400.0
331,32800,383.5
334,33600,284.3333
336,34400,400.0
338,35200,373.5
341,36000,342.0
343,36800,354.0
345,37600,300.0
347,38400,389.0
350,39200,348.6667
352,40000,356.0
354,40800,385.0
357,41600,307.6667
359,42400,314.5
361,43200,346.5
363,44000,388.0
366,44800,380.0
368,45600,314.5
370,46400,353.5
372,47200,400.0
374,48000,400.0
377,48800,272.3333
380,49600,299.3333
383,50400,327.0
386,51200,199.3333
389,52000,300.3333
391,52800,341.0
393,53600,400.0
395,54400,400.0
398,55200,297.6667
400,56000,340.0
402,56800,364.0
405,57600,289.6667
407,58400,400.0
409,59200,400.0
411,60000,351.5
413,60800,400.0
416,61600,307.3333
418,62400,357.0
420,63200,400.0
422,64000,400.0
424,64800,400.0
426,65600,365.0
428,66400,400.0
430,67200,400.0
433,68000,313.3333
435,68800,400.0
437,69600,400.0
439,70400,400.0
442,71200,346.6667
444,72000,373.0
446,72800,400.0
448,73600,388.5
451,74400,216.6667
453,75200,315.5
456,76000,346.0
458,76800,320.0
461,77600,336.6667
463,78400,331.0
465,79200,400.0
467,80000,387.0
469,80800,400.0
471,81600,400.0
473,82400,400.0
475,83200,400.0
477,84000,400.0
479,84800,400.0
481,85600,400.0
484,86400,333.0
486,87200,400.0
488,88000,400.0
490,88800,400.0
492,89600,400.0
494,90400,351.0
496,91200,345.5
499,92000,318.0
502,92800,305.0
504,93600,286.5
507,94400,313.6667
509,95200,373.0
511,96000,400.0
513,96800,400.0
515,97600,400.0
517,98400,353.0
519,99200,386.5
521,100000,400.0
