episode,timestep,reward
7,800,757.0
10,1600,-326.0
22,2400,211.6667
32,3200,136.1
35,4000,-234.0
43,4800,-74.125
48,5600,202.2
59,6400,334.5455
67,7200,239.125
80,8000,91.5385
89,8800,448.5556
94,9600,412.4
104,10400,379.4
113,11200,313.6667
126,12000,450.0769
139,12800,264.4615
156,13600,427.9412
175,14400,206.7895
190,15200,220.6667
200,16000,148.3
213,16800,359.9231
219,17600,320.1667
241,18400,363.7273
243,19200,-400.0
254,20000,450.9091
271,20800,490.5882
293,21600,814.5455
317,22400,417.0
345,23200,655.3214
374,24000,669.1379
392,24800,533.8889
427,25600,662.6571
465,26400,747.5
498,27200,575.3636
539,28000,846.4878
577,28800,486.7895
617,29600,842.625
656,30400,584.8205
700,31200,581.5
744,32000,832.2273
793,32800,759.0408
845,33600,836.4231
895,34400,830.2
948,35200,839.3208
1003,36000,945.4182
1060,36800,928.1579
1117,37600,928.0877
1175,38400,853.3276
1231,39200,868.0179
1292,40000,950.6885
1352,40800,913.3333
1412,41600,913.35
1474,42400,951.629
1536,43200,987.2419
1602,44000,987.8788
1667,44800,987.5692
1734,45600,971.597
1801,46400,971.7313
1866,47200,987.7385
1931,48000,987.5538
1997,48800,987.9091
2063,49600,988.0152
2131,50400,971.9412
2200,51200,988.4783
2270,52000,988.5429
2339,52800,956.4638
2410,53600,988.7465
2480,54400,988.6571
2546,55200,987.8182
2614,56000,988.2647
2683,56800,988.4348
2752,57600,972.3913
2820,58400,988.2059
2888,59200,972.0441
2959,60000,988.7042
3029,60800,988.6
3100,61600,988.7183
3169,62400,988.4783
3241,63200,988.875
3312,64000,988.7746
3384,64800,988.9167
3456,65600,988.7639
3526,66400,988.6429
3597,67200,988.7746
3668,68000,973.1831
3740,68800,988.875
3812,69600,988.9306
3884,70400,988.875
3956,71200,988.8611
4027,72000,988.8028
4100,72800,988.9315
4172,73600,988.9583
4245,74400,988.9726
4317,75200,988.9167
4389,76000,988.8889
4461,76800,988.875
4532,77600,988.8451
4605,78400,988.9863
4678,79200,988.9863
4750,80000,989.0
4823,80800,988.9178
4895,81600,988.9306
4967,82400,988.8889
5040,83200,988.9863
5112,84000,988.9583
5184,84800,988.9444
5256,85600,988.8889
5329,86400,988.9589
5401,87200,988.9306
5474,88000,988.9726
5546,88800,988.9028
5618,89600,988.9722
5690,90400,988.9167
5763,91200,988.9589
5836,92000,989.0
5908,92800,988.9722
5980,93600,988.9167
6053,94400,988.9589
6125,95200,988.9583
6198,96000,988.9315
6270,96800,988.9583
6342,97600,988.9306
6415,98400,988.9452
6487,99200,989.0
6559,100000,973.625
